trial.ar-ar.0	اتخذ	VERB	ar	2	ar	2	و قد اتخذ المسؤول المعيّن قرارات تعدل أحكام اتفاق المساومة الجماعية و قرارات الشركة ب شأن حقوق العمال .	اﻹجراء الذي اتخذ ه مجلس التجارة و التنمية ب شأن البنود الموضوعية من جدول أعمال ه
trial.ar-ar.1	اتخذ	VERB	ar	2	ar	5	و قد اتخذ المسؤول المعيّن قرارات تعدل أحكام اتفاق المساومة الجماعية و قرارات الشركة ب شأن حقوق العمال .	كما ينبغي تنفيذ القرارات التي اتخذ ها المجلس ب الفعل ل ضمان تعزيز اشتراك هذه المؤسسات ب وسائل من ها تقديم تقارير ذات صلة .
trial.ar-ar.2	أيضا	ADV	ar	7	ar	2	و أضاف أن مبدأ المفاوضات المباشرة ينطبق أيضا ب النسبة إلى سوريا ، و لبنان ، و دعى هما إلى استئناف الحوار مع بلد ه .	و ينبغي أيضا تقديم تعويضات الى البلدان النامية التي تتكبد خسائر قصيرة اﻷجل نتيجة ل تنفيذ اتفاقات جولة أوروغواي .
trial.ar-ar.3	أيضا	ADV	ar	7	ar	3	و أضاف أن مبدأ المفاوضات المباشرة ينطبق أيضا ب النسبة إلى سوريا ، و لبنان ، و دعى هما إلى استئناف الحوار مع بلد ه .	و أشارت التقارير أيضا الى حاﻻت متعددة من التجاوزات التي ارتكب ها ضد المدنيين أفراد من الحرس الجمهوري ينتمون الى نفس الجماعة العرقية التي ينتمي إلي ها رئيس الجمهورية .
trial.ar-ar.4	طريق	NOUN	ar	4	ar	14	و قد ثبت عن طريق تقرير طبي أن ه لم يخضع ل التعذيب و  ل سوء المعاملة .	و س تبذل قصار ها ل تعبئة اﻹرادة السياسية اللازمة ل السير قدما على طريق التنمية المستدامة .
trial.ar-ar.5	طريق	NOUN	ar	4	ar	38	و قد ثبت عن طريق تقرير طبي أن ه لم يخضع ل التعذيب و  ل سوء المعاملة .	ف هٰذا من شأن ه أن يوفر ل نا نقطة مرجعية تبين ل نا أين نقف في الوقت الراهن ، و أن يبين ل نا أيضا إلى أين نريد أن نصل ، و ما هي العقبات التي تعترض طريق نا ، و كيف يمكن ل الأمم المتحدة التغلب على هذه العقبات .
trial.ar-ar.6	مدد	VERB	ar	6	ar	1	و ب النسبة ل اليونسكو ، مدد المؤتمر العام ل فترة غير محددة نظام حساب اﻷنصبة المقررة ذا الشقين ، و هو النظام الذي تم اتباع ه ل المرة اﻷولى في الفترة ١٩٩٠ - ١٩٩١ .	و مدد الاجتماع العام و لاية الفريق كي يواصل عمل ه ب شأن هذه المسألة الهامة .
trial.ar-ar.7	مدد	VERB	ar	6	ar	9	و ب النسبة ل اليونسكو ، مدد المؤتمر العام ل فترة غير محددة نظام حساب اﻷنصبة المقررة ذا الشقين ، و هو النظام الذي تم اتباع ه ل المرة اﻷولى في الفترة ١٩٩٠ - ١٩٩١ .	استعرض العقد في شهر أيلول / سبتمبر 1999 و مدد إلى 31 كانون الأول / ديسمبر 1999
trial.ar-ar.8	عدل	VERB	ar	6	ar	1	و استنادا الى نتائج اﻻختبار ، عدل البرنامج و ترجم الى لغات أخرى ل كي يستخدم في جميع البلدان .	و عدل أيضا النص الموحد ل الاتفاقات الفرعية ل المفوضية في نيسان / أبريل 1998 بغية إلزام الشركاء المنفذين تقديم هذه الشهادات .
trial.ar-ar.9	عدل	VERB	ar	6	ar	8	و استنادا الى نتائج اﻻختبار ، عدل البرنامج و ترجم الى لغات أخرى ل كي يستخدم في جميع البلدان .	و في حالة عدم تقديم تفسير ل ذٰلك عدل الفريق المطالبة ل التعويض عن " احتمال المبالغة " الناجم عن هذا النقص .
trial.ar-ar.10	طيب	ADJ	ar	8	ar	5	نبات عطري يتبع الفصيلة الشفوية و كل نبتة طيب الرائحة يسمون ها ريحانة .	تدور أحداث الفيلم عن شاب طيب ل درجة السذاجة .
trial.ar-ar.11	طيب	ADJ	ar	8	ar	9	نبات عطري يتبع الفصيلة الشفوية و كل نبتة طيب الرائحة يسمون ها ريحانة .	من المعتاد في المجتمع أن يكون القائد ذا صفات طيبة .
trial.ar-ar.12	تنازل	VERB	ar	3	ar	12	و بعد أن تنازل ل ه أخو ه علاءُ الدين عن العرش طوعًا ، و قد امتدَّ حكم ه حوالي 35 سنة .	أمتدت أراضي ها على ثلاث قارات ، قامت دولة هم بعد أن تنازل الحسن بن علي بن أبي طالب ب الخلافة ل معاوية بن أبي سفيان .
